Date,Open,Low,High,Close,Volume
"Mar 27, 2015",2055.78,2052.96,2062.83,2061.02,"537,750,000"
"Mar 25, 2015",2093.1,2061.05,2097.43,2061.05,"582,073,000"
"Mar 24, 2015",2103.94,2091.5,2107.63,2091.5,"512,610,000"
"Mar 23, 2015",2107.99,2104.42,2114.86,2104.42,"500,086,000"
"Mar 19, 2015",2098.69,2085.56,2098.69,2089.27,"528,262,000"
"Mar 18, 2015",2072.84,2061.23,2106.85,2099.5,"628,925,000"
"Mar 16, 2015",2055.35,2055.35,2081.41,2081.19,"541,612,000"
"Mar 13, 2015",2064.56,2041.17,2064.56,2053.4,"553,445,000"
"Mar 12, 2015",2041.1,2041.1,2066.41,2065.95,"541,588,000"
"Mar 10, 2015",2076.14,2044.16,2076.14,2044.16,"618,042,000"
"Mar 09, 2015",2072.25,2072.21,2083.49,2079.43,"491,672,000"
"Mar 05, 2015",2098.54,2095.22,2104.25,2101.04,"479,611,000"
"Mar 04, 2015",2107.72,2087.62,2107.72,2098.53,"489,025,000"
"Mar 02, 2015",2105.23,2104.5,2117.52,2117.39,"516,612,000"
"Feb 27, 2015",2110.88,2103.75,2112.74,2104.5,"596,556,000"
"Feb 26, 2015",2113.91,2103.76,2113.91,2110.74,"504,308,000"
"Feb 24, 2015",2109.1,2105.87,2117.94,2115.48,"499,805,000"
"Feb 23, 2015",2109.83,2103,2110.05,2109.66,"497,016,000"
"Feb 19, 2015",2099.25,2090.79,2102.13,2097.45,"462,240,000"
"Feb 18, 2015",2099.16,2092.15,2100.23,2099.68,"458,222,000"
"Feb 17, 2015",2096.47,2089.8,2101.3,2100.34,"557,220,000"
"Feb 13, 2015",2088.78,2086.7,2097.03,2096.99,"501,223,000"
"Feb 12, 2015",2069.98,2069.98,2088.53,2088.48,"563,402,000"
"Feb 10, 2015",2049.38,2048.62,2070.86,2068.59,"537,838,000"
"Feb 09, 2015",2053.47,2041.88,2056.16,2046.74,"502,321,000"
"Feb 06, 2015",2062.28,2049.97,2072.4,2055.47,"590,733,000"
"Feb 04, 2015",2048.86,2036.72,2054.74,2041.51,"638,853,000"
"Feb 03, 2015",2022.71,2022.71,2050.3,2050.03,"658,300,000"
"Jan 30, 2015",2019.35,1993.38,2023.32,1994.99,"893,217,000"
"Jan 29, 2015",2002.45,1989.18,2024.64,2021.25,"620,130,000"
"Jan 28, 2015",2032.34,2001.49,2042.49,2002.16,"648,480,000"
"Jan 26, 2015",2050.42,2040.97,2057.62,2057.09,"525,986,000"
"Jan 23, 2015",2062.98,2050.54,2062.98,2051.82,"535,455,000"
"Jan 21, 2015",2020.19,2012.04,2038.29,2032.12,"538,996,000"
"Jan 20, 2015",2020.76,2004.49,2028.94,2022.55,"605,394,000"
"Jan 16, 2015",1992.25,1988.12,2020.46,2019.42,"731,828,000"
"Jan 15, 2015",2013.75,1991.47,2021.35,1992.67,"608,258,000"
"Jan 14, 2015",2018.4,1988.44,2018.4,2011.27,"673,001,000"
"Jan 12, 2015",2046.13,2022.58,2049.3,2028.26,"536,631,000"
"Jan 09, 2015",2063.45,2038.33,2064.43,2044.81,"503,887,000"
"Jan 07, 2015",2005.55,2005.55,2029.61,2025.9,"538,478,000"
"Jan 06, 2015",2022.15,1992.44,2030.25,2002.61,"628,224,000"
"Jan 05, 2015",2054.44,2017.34,2054.44,2020.58,"611,506,000"
"Dec 31, 2014",2082.11,2057.94,2085.58,2058.9,"415,223,000"
"Dec 29, 2014",2087.63,2085.75,2093.55,2090.57,"331,932,000"
"Dec 26, 2014",2084.3,2084.3,2092.7,2088.77,"286,785,000"
"Dec 24, 2014",2083.25,2081.86,2087.56,2081.88,"224,945,000"
"Dec 23, 2014",2081.48,2079.77,2086.73,2082.17,"473,272,000"
"Dec 22, 2014",2069.28,2069.28,2078.76,2078.54,"550,803,000"
"Dec 18, 2014",2018.98,2018.98,2061.23,2061.23,"667,228,000"
"Dec 17, 2014",1973.77,1973.77,2016.75,2012.89,"658,790,000"
"Dec 16, 2014",1986.71,1972.56,2016.89,1972.74,"690,265,000"
"Dec 12, 2014",2030.36,2002.33,2032.25,2002.33,"657,438,000"
"Dec 11, 2014",2027.92,2027.92,2055.53,2035.33,"527,529,000"
"Dec 09, 2014",2056.55,2034.17,2060.6,2059.82,"530,054,000"
"Dec 08, 2014",2074.84,2054.27,2075.78,2060.31,"547,803,000"
"Dec 05, 2014",2072.78,2070.81,2079.47,2075.37,"492,974,000"
"Dec 03, 2014",2067.45,2066.65,2076.28,2074.33,"536,333,000"
"Dec 02, 2014",2053.77,2053.77,2068.77,2066.55,"498,400,000"
"Nov 28, 2014",2074.78,2065.06,2075.76,2067.56,"411,804,000"
"Nov 26, 2014",2067.36,2066.62,2073.29,2072.83,"510,052,000"
"Nov 25, 2014",2070.15,2064.75,2074.21,2067.03,"587,165,000"
"Nov 24, 2014",2065.07,2065.07,2070.17,2069.41,"483,152,000"
"Nov 21, 2014",2057.46,2056.75,2071.46,2063.5,"725,438,000"
"Nov 19, 2014",2051.16,2040.37,2052.14,2048.72,"456,780,000"
"Nov 18, 2014",2041.48,2041.48,2056.08,2051.8,"465,627,000"
"Nov 14, 2014",2039.74,2035.2,2042.22,2039.82,"447,822,000"
"Nov 13, 2014",2039.21,2030.44,2046.18,2039.33,"470,727,000"
"Nov 12, 2014",2037.75,2031.95,2040.33,2038.25,"460,474,000"
"Nov 10, 2014",2032.01,2030.17,2038.7,2038.26,"459,544,000"
"Nov 07, 2014",2032.36,2025.07,2034.26,2031.92,"507,608,000"
"Nov 05, 2014",2015.29,2014.42,2023.77,2023.57,"511,039,000"
"Nov 04, 2014",2015.81,2001.01,2015.98,2012.1,"523,652,000"
"Nov 03, 2014",2018.21,2013.68,2024.46,2017.81,"495,466,000"
"Oct 30, 2014",1979.49,1974.75,1999.4,1994.65,"512,018,000"
"Oct 29, 2014",1983.29,1969.04,1991.4,1982.3,"550,834,000"
"Oct 27, 2014",1962.97,1951.37,1964.64,1961.63,"465,869,000"
"Oct 24, 2014",1951.59,1946.27,1965.27,1964.58,"499,168,000"
"Oct 23, 2014",1931.02,1931.02,1961.95,1950.82,"560,099,000"
"Oct 21, 2014",1909.38,1909.38,1942.45,1941.28,"586,162,000"
"Oct 20, 2014",1885.62,1882.3,1905.03,1904.01,"529,713,000"
"Oct 16, 2014",1855.95,1835.02,1876.01,1862.76,"795,956,000"
"Oct 15, 2014",1874.18,1820.66,1874.18,1862.49,"926,524,000"
"Oct 13, 2014",1905.65,1874.14,1912.09,1874.74,"670,484,000"
"Oct 10, 2014",1925.63,1906.05,1936.98,1906.13,"757,485,000"
"Oct 09, 2014",1967.68,1927.56,1967.68,1928.21,"604,573,000"
"Oct 07, 2014",1962.36,1934.87,1962.36,1935.1,"519,127,000"
"Oct 06, 2014",1970.01,1958.43,1977.84,1964.82,"433,672,000"
"Oct 02, 2014",1945.83,1926.03,1952.32,1946.17,"513,088,000"
"Oct 01, 2014",1971.44,1941.72,1971.44,1946.16,"585,264,000"
"Sep 30, 2014",1978.21,1968.96,1985.17,1972.29,"590,851,000"
"Sep 26, 2014",1966.22,1966.22,1986.37,1982.85,"436,267,000"
"Sep 25, 2014",1997.32,1965.99,1997.32,1965.99,"526,199,000"
"Sep 23, 2014",1992.78,1982.77,1995.41,1982.77,"483,710,000"
"Sep 22, 2014",2009.08,1991.01,2009.08,1994.29,"474,795,000"
"Sep 19, 2014",2012.74,2006.59,2019.26,2010.4,"1,399,699,000"
"Sep 17, 2014",1999.3,1993.29,2010.74,2001.57,"478,418,000"
"Sep 16, 2014",1981.93,1979.06,2002.28,1998.98,"441,783,000"
"Sep 12, 2014",1996.74,1980.26,1996.74,1985.54,"500,131,000"
"Sep 11, 2014",1992.85,1985.93,1997.65,1997.45,"399,776,000"
"Sep 10, 2014",1988.41,1982.99,1996.66,1995.69,"427,131,000"
"Sep 08, 2014",2007.17,1995.6,2007.17,2001.54,"411,969,000"
"Sep 05, 2014",1998,1990.1,2007.71,2007.71,"450,560,000"
"Sep 03, 2014",2003.57,1998.14,2009.28,2000.72,"396,734,000"
"Sep 02, 2014",2004.07,1994.85,2006.12,2002.28,"399,418,000"
"Aug 29, 2014",1998.45,1994.65,2003.38,2003.37,"425,023,000"
"Aug 28, 2014",1997.42,1990.52,1998.55,1996.74,"315,882,000"
"Aug 27, 2014",2000.54,1996.2,2002.14,2000.12,"342,143,000"
"Aug 25, 2014",1991.74,1991.74,2001.95,1997.92,"336,826,000"
"Aug 22, 2014",1992.6,1984.76,1993.54,1988.4,"377,872,000"
"Aug 20, 2014",1980.46,1977.68,1988.57,1986.51,"378,232,000"
"Aug 19, 2014",1972.73,1972.73,1982.57,1981.6,"393,523,000"
"Aug 18, 2014",1958.36,1958.36,1971.99,1971.74,"422,144,000"
"Aug 14, 2014",1947.41,1947.41,1955.23,1955.18,"322,147,000"
"Aug 13, 2014",1935.6,1935.6,1948.41,1946.72,"368,395,000"
"Aug 11, 2014",1933.43,1933.43,1944.9,1936.92,"399,490,000"
"Aug 08, 2014",1910.35,1909.01,1932.38,1931.59,"456,088,000"
"Aug 07, 2014",1923.03,1904.78,1928.89,1909.57,"474,067,000"
"Aug 05, 2014",1936.34,1913.77,1936.34,1920.21,"500,527,000"
"Aug 04, 2014",1926.62,1921.2,1942.92,1938.99,"468,874,000"
"Jul 31, 2014",1965.14,1930.67,1965.14,1930.67,"623,629,000"
"Jul 30, 2014",1973.21,1962.42,1978.9,1970.07,"476,985,000"
"Jul 29, 2014",1980.03,1969.95,1984.85,1969.95,"492,838,000"
"Jul 25, 2014",1984.6,1974.37,1984.6,1978.34,"414,635,000"
"Jul 24, 2014",1988.07,1985.79,1991.39,1987.98,"471,603,000"
"Jul 22, 2014",1975.65,1975.65,1986.24,1983.53,"425,726,000"
"Jul 21, 2014",1976.93,1965.77,1976.93,1973.63,"397,417,000"
"Jul 18, 2014",1961.54,1960.82,1979.91,1978.22,"582,965,000"
"Jul 16, 2014",1976.35,1975.67,1983.94,1981.57,"517,539,000"
"Jul 15, 2014",1977.36,1965.34,1982.52,1973.28,"544,581,000"
"Jul 11, 2014",1965.76,1959.63,1968.67,1967.57,"375,548,000"
"Jul 10, 2014",1966.67,1952.86,1969.84,1964.68,"417,456,000"
"Jul 08, 2014",1976.39,1959.46,1976.39,1963.71,"482,721,000"
"Jul 07, 2014",1984.22,1974.88,1984.22,1977.65,"399,491,000"
"Jul 03, 2014",1975.88,1975.88,1985.59,1985.44,"366,541,000"
"Jul 02, 2014",1973.06,1972.58,1976.67,1974.62,"386,021,000"
"Jul 01, 2014",1962.29,1962.29,1978.58,1973.32,"438,761,000"
"Jun 27, 2014",1956.56,1952.18,1961.47,1960.96,"736,991,000"
"Jun 26, 2014",1959.89,1944.69,1959.89,1957.22,"404,542,000"
"Jun 25, 2014",1949.27,1947.49,1960.83,1959.53,"455,366,000"
"Jun 23, 2014",1962.92,1958.89,1963.74,1962.61,"411,854,000"
"Jun 20, 2014",1960.45,1959.17,1963.91,1962.87,"1,209,685,000"
"Jun 18, 2014",1942.73,1939.29,1957.74,1956.98,"436,454,000"
"Jun 17, 2014",1937.15,1933.55,1943.69,1941.99,"405,863,000"
"Jun 16, 2014",1934.84,1930.91,1941.15,1937.78,"437,288,000"
"Jun 12, 2014",1943.35,1925.78,1943.35,1930.11,"459,956,000"
"Jun 11, 2014",1949.37,1940.08,1949.37,1943.89,"387,283,000"
"Jun 09, 2014",1948.97,1947.16,1955.55,1951.27,"422,431,000"
"Jun 06, 2014",1942.41,1942.41,1949.44,1949.44,"445,161,000"
"Jun 05, 2014",1928.52,1922.93,1941.74,1940.46,"431,125,000"
"Jun 03, 2014",1923.07,1918.79,1925.07,1924.24,"414,841,000"
